prol_id,choice,fr_why_first_over_second,fr_why_second_over_third,coder,Nonsensical? (1 = yes; 0 = no),Propensity for intentional fraud/system abuse/gaming (including both “this method is better because it does that less” and “this method is worse because it does that more”) by either the applicants or the people allocating the funds,"Ability to help the neediest targets, and/or underserved groups","Extent to which the method requires personal resources, speed of finding out about the program, etc.",Amount of bias/discrimination/level playing field,Extent to which the method(s) allow for or reward applicant effort,Randomness is bad (general) and/or randomness is bad because the funding agency didn’t make enough of an effort to think of a better system,Considers relevant/appropriate factors,Women - mentioned,Racial/ethnic minorities - mentioned,Other reasons,Comments on other reasons
5fabf60a1d67830bec1b3625,lf,"Not really sure I think it's more fair.  I just had more concerns about how the first-come first served and points system plans were stated.  There are some businesses that have more access to services which would allow them to apply faster/sooner.  I understand the paperwork was a bit involved.  These would leave some smaller business at a disadvantage.  The points system - not sure I agree that a woman-owned business should get more points. What about minority-owned businesses or businesses in target market areas?  There are probably a host of business that could get extra points because of what they do, how they are structured, who they serve, etc.","Not really sure I think it's more fair.  I just had more concerns about how the first-come first served and points system plans were stated.  There are some businesses that have more access to services which would allow them to apply faster/sooner.  I understand the paperwork was a bit involved.  These would leave some smaller business at a disadvantage.  The points system - not sure I agree that a woman-owned business should get more points.  What about minority-owned businesses or businesses in target market areas?  There are probably a host of business that could get extra points because of what they do, how they are structured, who they serve, etc.",X,0,0,0,1,0,0,0,1,1,1,0,
5fc428fae5097e713227eb40,fl,"There is no possible option for discrimination, intentional or not.","There is possibility for discrimination, intentional or not.",X,0,0,0,0,1,0,0,0,0,0,0,
5c0727ff1d461400012b61ee,lf,"This gives no one an advantage and creates a level (and fair) way of choosing. It's like the money is being handed out blind, so it doesn't matter if your new, old, brown, black white. Everyone gets treated the same.",A points system doesn't really make much sense to me. Because who is to decide that an established business is any more important than a new business? Or why is a minority more deserving than a white person? It's just very bias and it's not fair.,X,0,0,0,0,1,0,0,0,0,1,0,
5d2a068fd7d4940019e63136,pl,A points system would not be weighted in favor of businesses that were actually less affected by the pandemic.,Applying may be difficult. A lottery would not penalize businesses that were unable to apply fast.,X,0,0,1,1,0,0,0,0,0,0,0,
5fd6893ef3900d5bfae2e270,pl,I think it should more fair selection from others two.,"Well, I think lottery could be more capable decision regarding luck.",X,1,,,,,,,,,,,
5f62bff03a4958215b85d8bf,pl,Because the points based system tries to find the businesses that are most harshly affected by covid.,Businesses that don't need it as much could come and apply first so i think randomly selecting would be more fair than that.,X,0,0,1,0,0,0,0,0,0,0,0,
5dfb693a73d72487b1fe495b,pf,It would help those small businesses that had more need of help,A lottery does not account for the actions of the small business owner in working to save their business,X,0,0,1,0,0,1,0,1,0,0,0,
5d1a7bb2339da6001a12b11a,pl,"Because equality is not the same as equity. Minority owned businesses often start with a deficit of opportunity, so it's only right to give them a boost.","I was honestly torn between these two. I put first-come as less fair, because thriving, long-established majority owned big businesses are likelier to be able to jump on the opportunity, edging out, newer, less privileged businesses.",X,0,0,0,1,0,0,0,0,0,1,0,
5dd6e8e3e426bd67d5b1c7e0,pf,Because it is based on merit.,Because it is based on luck.,X,0,0,0,0,0,0,0,1,0,0,0,
5e8bbb3680cbf20986c677e1,pf,"I think it is a good measure of who was most impacted by the virus and potentially who would benefit from the funds the most. First come first serve is difficult because there may have been external factors that prevented people from applying for the loan early, and the lottery just leaves it completely up to luck.","Although there are problems with first come first serve, it does show initiative on the part of the owners to apply early and make sure that they are considered.",X,0,0,1,1,0,1,1,1,0,0,0,
5fc5369ea2d98d0008619133,pf,Because a points system would allow people who need help most to receive it first. It will help those who really need it the most.,"lottery is least fair because it is random. The money should go to those who need it the most, and/or those who worked hardest to get it, ergo those who were first to apply for it.",X,0,0,1,0,0,1,1,1,0,0,0,
5de9d78ebe656d10e1a26af6,lp,It allows all to be treated the same. There's no risk of discrimination.,It creates a race to get an application in first. Businesses that have greater resources to pull together the necessary information will get an application in faster than an even smaller business.,X,0,0,0,1,1,0,0,0,0,0,0,
5fd0ceb0bb24d90009e6fc4f,lf,"I think a lottery is the most fair way to do it. Sometimes people may have an advantage that allows them to apply more quickly, and that would favor the people with that advantage. Lottery gives everyone a fair chance.","I don't think the points system is fair because it gives favor due to minority status. Not everyone who is not a minority is a rich white tycoon. There are plenty of non-minorities who are struggling right along with minority people. I believe in helping all disadvantaged people based on NEED, not on race or other group label.",X,0,0,1,1,1,0,0,0,0,1,0,
5c745295821a97001763fb1b,fp,Because the small businesses that really need help will get their paperwork in and on time.,"I'm not sure why, but I just feel that it would be best.",X,0,0,1,0,0,1,0,0,0,0,0,
5e9e164fae5c8e1c190b69ea,lp,Prejudice will not interfere with getting the loan,Some people are more aware of these loans and can act quicker,X,0,0,0,1,1,0,0,0,0,0,0,
5f6666e43be0b923d23c8df8,pl,"Looking at those who need the help first and have been harmed by 
Covid-19 the worst is using more common sense.",A lottery is not showing prejudice.,X,0,0,1,0,1,0,0,0,0,0,0,
5c109ce457fd11000127f3de,lp,Lottery keeps any bias out of it.,"First come-first serve means that it depends on when the processing happened, which could be on the government instead of the businesses.",X,0,0,0,0,1,0,0,0,0,0,0,
5f5bf9beef06253d2b621fc3,pf,It's based on past experience and need,"lottery is too random, people in need will probably be more aware and first to apply",X,0,0,1,0,0,1,1,,0,0,0,
5f98c3f8f2d9be1e75e21709,pf,"Due to the pandemic there are many different ways that a business may be affected. A person might not be able to leave due to lockdowns, or a business owner might have gotten sick and can't function.",A lottery is random and businesses that do not actually need the assistance as much as others will receive aid. Some businesses will say it's needed just to receive the money without having true need,X,0,0,1,1,0,0,1,0,0,0,0,
5ea72592a95dbf0c71404225,pl,I think it's more fair than a lottery where randomness doesn't allow someone who needs access to have access.  First come first serve punishes people for having schedule conflicts.,Lottery allows more fairness than those who have too much misfortune going on that keeps them stuck in place.,X,0,0,1,1,0,0,0,0,0,0,0,
5d02436233ef7200190d44df,lp,"Because being random removes bias towards anything. A business that is thriving might have more opportunity to sign up faster than one that ""deserves it more"", making FCFS unfair. Having a judge or points system can be unfair based on what gets more points. Randomness is the only way to remove bias.","FCFS is unfair because companies with more resources and less need would be able to sign up the fastest, meaning companies that need it more would continue to suffer. The points system accommodates for this, and so is more fair.",X,0,0,1,1,1,0,0,0,0,0,0,
58642f4de16d530001b34622,pl,Based on need before luck or speed to apply for.,Some may have an advantage in application speed.,X,0,0,1,1,0,0,0,0,0,0,0,
5e0c12d97bf57240daea3189,lp,there should be less chance of politicians to interfere and direct the money to their friends.,again less chance for politicians to interfere with the process by tipping off their friends to get in early.,X,0,1,0,0,0,0,0,0,0,0,0,
5f482b182a325c1b68894c86,pl,"Because it identifies which businesses need the money the most. Every business needs the money, but for some businesses it's a matter of survival versus a matter of continuing to thrive and make a profit.","Because just being the first one in the door doesn't mean you need the money the most. In fact, many of the people who apply first are probably those that know how loans and grants work or have done it before, so they might have more generational wealth or financial knowledge and therefore might need the money less.",X,0,0,1,1,0,0,0,0,0,0,0,
5dd5db1ded7ea4574c7bc996,fp,It rewards the most diligent or most in need.,There is no merit to any business getting help,X,0,0,1,0,0,0,0,1,0,0,0,
5ea3310bf9c4f828f0c909c5,pl,It takes into account factors that make some businesses at higher risk of being financially unstable,First come first serve may unfairly favor businessowners that have access to the sort of information or internet access needed to apply for the grant,X,0,0,0,1,0,0,0,1,0,0,0,
5809f556b869700001d71179,pl,Because it accounts for more than just when or if a business applied. It allows those businesses hardest hit by the downturn or classes of individuals to be given more points based on historical issues.,Because not every business owner is able to immediately apply for assistance. It seems more likely that savvy business owners would apply first.,X,0,0,1,1,0,0,0,0,0,0,0,
5e820a4e26ed71918013d860,fp,"First-come, first-served eliminates the chance of providing government assistance in an unfair manner. It's merely a process of applying first.","A point-based system seems to reward businesses based on provable merits (experience, track record, revenue earned, number of employees, etc.)",X,0,1,0,0,0,0,0,1,0,0,0,
5fc40b4048608b3785cc0e6e,pf,because it will be given to people who r in more need,because those 500 people worked hard to come first,X,0,0,1,0,0,1,0,0,0,0,0,
5d87e122e951a10001c3811a,fl,"Because I have applied for grants and after not ever receiving anything, I called up and was told because of where I lived that the computer automatically deleted my application in favor of lower-income zip codes. My area is mix of old money, new money, middle-waged earners and low-income.  I am not wealthy and trying to survive on pandemic unemployment.  Therefore, I think I may have a better shot in a ""first-come, first-served"" scenario.","So, that everyone gets a fair chance from the taco cart vendor to larger businesses.",X,0,0,0,0,1,0,0,0,0,0,0,
5e29c03603f7bf01d72c5ab3,pf,Because they make it more fair.,Because a lotter isn't fair at all.,X,1,,,,,,,,,,,
5fc733ce86fec215ea94a5e3,pf,I think it is fairer because it will help those most affected by this time first.,"I think that is less fair as companies that weren't that in that much danger according to this strange time would get compensated as in the first-come companies that are in the most need have the most incentive to be will be there first, so I believe the people that need the most help will be there, will be there.",X,0,0,1,0,0,1,0,0,0,0,0,
5f0f74f79ae45313d4652776,lp,"First come, first served only supports those businesses that managed to find out about and apply for the grant before other businesses - overall it is not a fair method, and I believe that it would mainly benefit bigger businesses with the staffing levels to make application for the grant easier.  I would actually tend to lean more towards a points based system, as it would favor businesses that are not likely to receive help from other sources but I don't think that strictly speaking it is fair.  The most fair, even-handed method is a lottery which gives all applicants an equal shot at the grant funding.","I mentioned in my earlier answer that first come, first served would primarily favor those businesses that are already set up to apply for such help, mainly businesses that are already well established with larger, more experienced staff that would be in a better position to apply for the grants.  Depending on how the availability of the grants is broadcast, it would likely also favor those businesses that are ""in"" with the governmental staff that would be in charge of disseminating the grants.",X,0,1,1,1,1,0,0,0,0,0,0,
569298838d93fe000dfa033c,lf,It's fair because it's random.,It's least fair because it singles out some businesses over others. It's like choosing an older child instead of a younger one to get a cure for a deadly disease. How could a parent decide??,X,0,0,0,0,1,0,0,0,0,0,1,P is least fair because it singles out some businesses over others.
5dd0952dade46216691820cc,pf,"It is less random and more earned, more targeted. The businesses with more damage resulting from the pandemic deserve more help than those with less.  Also, businesses which are making attempts at equality regarding gender, race, etc. deserve a leg up.","It is too scatter-shot, too random.  Success for any business or individual should not depend on just blind luck.  Funds may end up going to those who do not really need it so much and leave out those desperately in need.",X,0,0,1,0,1,0,1,1,1,1,0,
5f281c6e6029530a2a65e847,lp,"Lottery would be random, so there would be no favorites and bias.","Points based system is favored because first come first serve doesn't mean that the business actually deserves it, it just means they filled out the forms quicker.",X,0,0,1,0,1,0,0,0,0,0,0,
5b86f3cb5470830001b74bbc,pf,Because one of the distinctions is most covid damage. I believe that businesses with the most damage should be looked at first over someone that was the first to apply.,Because with first come first serve those business owners took the initiative to go ahead and fill out the paper work to be eligible early and they should be rewarded.,X,0,0,1,0,0,1,0,0,0,0,0,
5f0527d40807f31c712153eb,pl,gives money to the businesses that most need it,just bec they knew about it first doesn't make them more entitled,X,0,0,1,1,0,0,0,0,0,0,0,
5d6376ec7e447f001c971315,pf,I think 1 and 2 are tied but first come may mean some with greater need would be left out. with a lottery the chances of getting aid would be next to nothing,you have almost no chance of getting the aid,X,0,0,1,0,0,0,1,0,0,0,0,
5f33c6739cce851fd95e99cd,fp,A focused and punctual individual endeavours to be on time,Lottery follows no rule and it's based on luck,X,0,0,0,0,0,1,1,0,0,0,0,
5f0e38fc00a4d80009dd2331,pf,Because it gives women owned businesses more of a chance.,"I'm not sure, this is a tough one.",X,0,0,0,0,0,0,0,0,1,0,0,
5c5b492b2bb5e10001923a30,pl,"A points system can take into account factors such as value to the community, number of employees effected, and how much damage was caused by the effects of the virus. This would help allow for the money to be spent in a way that would do the most good. The other two methods would not allow for that.",First come first served does not allow for any differences in when a business becomes aware of the program or how difficult it might be for individuals to prepare the necessary paperwork. Businesses that are highly effected might take more time to document the negative effects of the virus. Some businesses would be more accustomed to creating and filing paperwork due to the nature of their businesses.,X,0,0,1,1,0,0,0,1,0,0,0,
5fc5a2371b535212264944ca,fp,The points based system mentioned priority to woman owned business.  I think it should be more fair.,Because it is random and with the points system it could be earned,X,0,0,0,0,0,0,1,0,1,0,0,
5fe5ec0dbbdf7f3f57c9a83e,pf,I think the government should help those that are not not sufficient,I think those that needs it the most will arrive early while does that don't won't take it serious,X,0,0,1,0,0,1,0,0,0,0,,
5fd7977c3e25ec0e722a08ec,pf,Because this gives the government an opportunity to identify the businesses most in need of assistance. The businesses in need are more likely to be provided with assistance.,"I'm not sure that it is, I changed my mind several times. My rationale was that businesses most in need are likely to be the first in line, so it may be more fair than a lottery.",X,0,0,1,0,0,1,0,0,0,0,0,
5f8de647cd69f416a7bf3f3b,pf,I think a point system would be more fair because it actually looks at different factors like what the business is and how it is being affected. With a first come serve system there may be businesses that don’t need as much help as struggling businesses and a lottery I think wouldn’t be a good way to help businesses in need,I feel the lottery is least fair because there can be businesses who are not struggling as much getting money from the government leaving businesses who needed the most help not getting any,X,0,0,1,0,0,0,1,1,0,0,0,
5c263f32867f660001ae1e29,pf,Because the point based system is the most honerable system.,It is to random.The people that got in early should have a better chance.,X,0,0,0,0,0,1,1,0,0,0,0,
5b2669ae0ec82d0001d20b40,pl,I think the point system is the fairest because this way more need based circumstances is taken into account.,First come first served is just not fair. There is just too much of the chance that those that don't need it at all will prevail.,X,0,0,1,0,0,0,0,0,0,0,0,
5e84f020507cd30b367b2624,pf,"Not every business deserves help.  It is important to use criteria, not just to throw money at anyone.","Lottery is a joke.  Undeserving businesses may win, and deserving businesses may be shut out.",X,0,0,1,0,0,0,1,1,0,0,0,
5c6a617c4330ba000182510e,pl,"It is a more merit-based system that will allow businesses that have tried harder and are more established to be able to stay afloat, rather than being randomly selected or simply applying quick enough.",A first come first serve system may not allow enough time for all businesses to be aware of the aid being offered and with a lottery system at least all businesses have a chance.,X,0,0,1,1,0,0,0,1,0,0,0,
5e48d3d8b26b05361ff522f2,pf,This considers the damage caused by COVID-19,This is because those with the least damage could get help.,X,0,0,1,0,0,0,0,0,0,0,1,considered of COVID-19
5d391bc980ccd20018ac4006,fp,"Because, they are applying first - they took action","Because, lottery is based on luck of the draw.",X,0,0,0,0,0,1,1,0,0,0,0,
5beb92fbe0a3940001543d8c,fp,"The businesses are all in trouble,the more motivated a business is to applying for the money, the sooner they will apply. It's a case of the ""early bird catches the worm"".",The points system consider the amount of damage caused by specifically due to Covid19 and the degree in which the business has been harmed.,X,0,0,1,0,0,1,0,0,0,0,0,
5f0632802b566a17e81a5f5f,fp,BECAUSE PEOPLE WHO ARE REALLY INTO THEIR BUSINESS WILL DO ANYTHING TO KEEP IT AFLOAT AND THEY WILL EVEN GO THE EXTRA MILE TO BE AT THE BANK EARLY.,BECAUSE A LOTTERY IS SO NOT FAIR BECAUSE IT IS HARD TO WIN ANYTHING.,X,0,0,0,0,0,1,1,0,0,0,0,
5fe279c83e41f765b85f02a3,lp,Local governments generally had more businesses ask them for help than they had money to go around.,"Most small businesses have had to make expensive changes to keep operating and have had fewer customers during the pandemic, so they need financial support.",X,1,,,,,,,,,,,
5c92870723bd7e001870138e,lp,no favoritism in a lottery,better criteria using the points system,X,0,0,0,0,1,0,0,1,0,0,0,
5f525487e51b924db405f6a5,fp,The businesses applying first demonstrate their need and urgency for relief.,Lottery does not depend on any algorithm and it is not a fair system.,X,0,0,1,0,0,1,1,0,0,0,0,
58d4c4c287b2420001263b6a,lp,"Because there are so many deviations. There may also be non minority businesses effected by equally devisive hardships or situations, you just don't know. So I think the most objective method, and therefore, fair, is just to leave it up to chance.","I sort of think this is fair because often, minorities don't have the same kind of societal connections or resources. Just like becoming a lawyer. I've heard that you kind of need to know people, so it's a catch 22. It's hard when there's already no generational wealth, since slavery both indirectly and directly prevented this.",X,0,0,0,1,1,0,0,0,0,1,0,
5fb1af98ade2d76d03d38fde,pf,"I think a points system is more fair than first come, first served and a lottery because some businesses may be in need more than others. As it still may not be fair, this would help the people who have nothing to go to.",I think lottery is least fair because it is a random selection and may help businesses that don't really even need help as much.,X,0,0,1,0,0,0,1,0,0,0,0,
5f7505fcdf8706171b91857e,pl,I think the point based system will work the fairest out of the rest of the methods available.,The lottery at least gives everyone the same chance as the next to get a grant,X,0,0,0,0,1,0,0,0,0,0,1,the point based system will work the fairest out of the rest of the methods available.
5faefcc22be93b11829e84df,pf,Because a points system can actually help those businesses urgely needed help.,Because lottery is random. It may have higher chance to skip those businesses urgely needed help.,X,0,0,1,0,0,0,1,0,0,0,0,
5e15e63a4f40fbbd907aff1e,pl,"We've all seen news stories about big businesses getting millions of dollars in assistance while the mom and pop business goes under due to a lack of $10,000.  I would give more points to the very small business with no fallback resources over the 3,000 person company that is just grabbing while the grabbing is good.","The first ones to apply may not be the most deserving - the smaller business may not be able to apply on the first day due to not hearing about the plan immediately, or needing advice/help on how to apply. Mom and pop can't keep a lawyer or accountant on hand who can understand the ins and outs of the government programs.",X,0,0,1,1,0,0,0,0,0,0,0,
5ec00f62cf12be40ea6fe344,lp,It gives every business a chance to possibly have the opportunity without judgment.,Not all businesses can easily ave the lawyers needed to fill out the forms as quick.,X,0,0,0,1,1,0,0,0,0,0,0,
5c1afa2037dd01000114f09d,pf,I believe that point system is more fair because it requires them to actually look at the applications and determine based on merit whether helping the business is a sound decision.  I believe just because you turn in your application first don't mean that you should not consider those that may have needed more time to apply.,The lottery is too random and may eliminate really good candidates,X,0,0,1,0,0,0,1,1,0,0,0,
5ea39db77a313632f06e44ac,lp,random means there was no selecting specifically and therefore it is fairest.,people may have other things to deal with besides scraping money from the government. in fact the ones most needing it probably have other things going on.,X,0,0,1,1,1,0,0,0,0,0,0,
5f9b1a626eb6cf2edd8ce633,pl,Different businesses are affected differently because of the pandemic.,The speed of applying should not be a factor in deciding.,X,0,0,1,1,0,0,0,0,0,0,0,
5e7f12f57ef97e5e3ba73087,pl,A points system gives the opportunity to take into account other factors that should be considered when prioritizing which small business should be saved.,Some businesses for some reason or another might need help applying for loans. It is not fair to punish them for needing to seek help and consequently probably not being among the first to apply for the grants.,X,0,0,0,1,0,0,0,1,0,0,0,
5f533cca31bf350009c01ac1,pf,It gives help to the businesses that need it the most.,A random pick of businesses is an unfair way to give out help because some business that really need the money might not get it.,X,0,0,1,0,0,0,1,0,0,0,0,
5ed284d996972008d7cd7b1b,pl,because then those who need it most would most likely get it over those who don't necessarily need it.,just being first doesn't mean you need it most.,X,0,0,1,0,0,0,0,0,0,0,0,
5fc65e1e8afba329b6f4369a,fp,Business does not rely on Fortune. So who is active he might get the opportunity.,Yes I think point system is more fair than lottery.,X,0,0,0,0,0,1,0,0,0,0,0,
5e718c86686c0c0b7759f340,lf,It gives all of the businesses a fair chance.,It should not be based on if the owner is a female and if the business has been around longer.,X,0,0,0,0,1,0,0,0,1,0,0,
5f1626d3a519eb78ed294223,pf,A point system seems to take more problems into account than any of the others.,"First come, first-served is more fair than a lottery in my opinion as I would hope that people would be able to get online early and get help faster. If it was a lottery, it seems they would wait for everyone to apply and then run the numbers, which would mean waiting longer.",X,0,0,0,0,0,1,0,1,0,0,1,lottery would take longer time to wait for everyone
5fd635f885f88c4eb1933640,pl,I think Government should help the small businesses system more.,I think a lottery of first come fast served is better. Yes I think the first come fast served is latest fair.,X,1,,,,,,,,,,,
5fba8ed9c7bb9a72a8c0ed8c,pl,"Implementing a points system is a way to increase the likelihood that monies invested will go to businesses responsible with their finances and have a better chance to weather the pandemic. At least with a lottery, some of the most deserving recipients have a chance apart from being cherry-picked by the selection committee. First-come, first-served can easily be arranged in advance, thus excluding some more appropriately deserving businesses.","Many multi-million (if not multi-billion) dollar businesses who could better survive a financial setback were first to submit requests for funding. Many received millions of dollars in pandemic relief while many local businesses did, are, and will go under because they did not have access to holdover funding. It was not a fair playing field for those who needed it.",X,0,1,1,1,0,0,0,0,0,0,0,
5fd9dccd6c1673527815984e,lf,lottery is the most fair way for the government to select which businesses to help.i think positive,"think first-come, first-served is more fair than a points system",X,1,,,,,,,,,,,
5fe9f79b5602a1007743ae80,pf,"BECAUSE THIS GIVES HELP TO THOSE THAT ACTUALLY NEED THE HELP, NOT JUST THE FIRST IN LINE",BECAUSE THERE IS NO ORDER TO IT,X,0,0,1,0,0,0,1,1,0,0,0,
58cbd23d5d42920001414dd8,fl,"Why not? The applied first and, if they are eligible, they should receive first.",Why give a preference to anyone? Random drawing is unbiased.,X,0,0,0,0,1,1,0,0,0,0,0,
5f4ee7650959f913daa64815,pf,Because with this system the most affected business due to the covid will rank most and will be compensated. It will make the process to be more fair than the rest.,First come first serve will be more fair than the lottery because businesses that are really affected with the Covid-19 will be swift with their application as they know what they are passing through. On the other hand using lottery will make the grant to be more of a luck than who needed it most.,X,0,0,1,0,0,1,1,0,0,0,0,
5fb491db81ca4c09be688851,pl,It takes in to account factors like minority ownership.,Those with the most resources might be the first to apply.,X,0,0,0,1,0,0,0,0,0,1,0,
5d23ac573e72cb0001a4dfc2,pl,It takes into consideration other factors that have been clearly shown to be exacerbating the current crisis for those businesses.,"Lottery at least keeps it seeming more fair- hard to make first-come first-served, I don't trust the government to act honestly or fairly.",X,0,1,0,0,1,0,0,1,0,0,1,P takes into consideration other factors that have been clearly shown to be exacerbating the current crisis for those businesses.
5dcea48c3f6feb0a41eae267,pf,"Some businesses are been hurt more by covid than others.  For example, if the pharmacy never had to close versus the restaurant.","Lotteries are so random, while first come, first served are based on people who have actually gone to the trouble of filling out the applications",X,0,0,1,0,0,1,1,0,0,0,0,
5e77debe42409d356a79c82a,pl,They can find out which business will be able to survive this situation better . As long lasting business have more experiences than others to cope with this situation .,If it is a lottery system they can not discriminate among the participants .,X,0,0,0,0,1,0,0,0,0,0,1,P can find out which business will be able to survive this situation better .
5e6002b9e9e2ca34e24deab8,pl,"Without taking into account the things points are being given for: longevity of business, how much COVID has damaged the business, and how much society has damaged or worked against the business prior to COVID, we might end up giving money to businesses that are in great shape rather than to businesses that are hurting -- or giving it to fly-by-night shops that opened last week for the purpose of collecting assistance money.","Lotteries at least are a flat system where everyone, regardless of need, has the same chance.  First-come first-served, in this kind of situation, ends up rewarding businesses which can fill out complicated government paperwork the quickest: those with high-intelligence and/or high-education owners and staff, or those who can afford to hire a lawyer or accountant to do this work swiftly for them -- that is, the very companies *least* in need of help.",X,0,0,1,1,1,0,0,0,0,0,0,
5de5538f8fde1c4dbc951498,lp,I believe in these times it does not always matter who is more desperate or who has been in business longer. Almost all are on the verge of collapse if help is not generated.,"Although, almost all are in danger of bankruptcies. There is a place for delving into the business finances a little deeper for more clarity.",X,0,0,0,0,0,0,0,1,0,0,0,
5fc3e9e547eed92a5265cfbe,pf,"Yes, it makes sense to me to take inventory of what the business has lost. If they have lost more money then they need more assistance.",First come first serve is a horrible response but is better than being randomly chosen. It at least gives some people an opportunity to try and get help,X,0,0,1,0,0,0,1,0,0,0,0,
5d7551a5515c8b001bed10d7,fl,"It shifts the responsibility to the business to step up. It's more fair than a points system which can allow bias in many cases.
Maybe equal to lottery since that is given to chance but I think it better for the responsibility to be on the business to sek help.",Lottery is not biased toward any given group such as gender for example,X,0,0,0,0,1,1,0,0,1,0,0,
5fda9d7e39b731531f5227ff,fl,Although Lottery is quite cool but this is the case everybody needs it so think the government being fair enough first come served. If you really need it you will be there soon,"I believe we use money to get money, you know everybody needs the help the government I think the government applying this lottery is cool it will above discrimination",X,0,0,1,0,1,1,0,0,0,0,0,
5e937e8e4d246b6b4162ae72,lf,I think this is most fair because it gives everyone who is qualified an equal chance.  It doesn't discriminate against anyone because of this.,I think first-come first-serve is more fair than a points system because its criteria are simple and clear-cut.  The problem with points is that the person who develops the system is essentially choosing who gets priority and they might unfairly favor certain groups or businesses.,X,0,0,0,0,1,0,0,0,0,0,0,
5f16520a9e2ee97d266d4241,pl,It puts weight on different factors which could be fairer than lottery,lottery is through chance; first come first served is dependent on which one applied. it's not the fault of some other business to apply late because others applied or was in line for about 24 hours before time of application.,X,0,0,0,1,0,0,0,1,0,0,0,
5ef4d71e2e4e740edef0340a,pf,This makes the most sense because it gives specific stats to back up the need for help.,The lottery is strictly based on chance. Chance is the worst way to solve problems of this magnitude.,X,0,0,1,0,0,0,1,1,0,0,0,
5c7d7e86848d2a0016b3dd3e,pl,It gives more companies a chance and there is something to go buy,The lottery everyone has the same chance to get support but first come first serve the bigger companies would normally get that because they have the time a resources to fill out paper work and get it to right people,X,0,0,0,1,1,0,0,0,0,0,0,
5dc9f3a0e2633171257d503e,fl,"That the way I Believe first come first receive, that the way it is in my home time",Because the Lottery can't see color or race,X,0,0,0,0,1,0,0,0,0,1,0,
5bedf1dac998f000011f754b,lf,At least he lottery is random and no favorites are played,A business that is most eager will be quicker to step up.  This would be anyone's ball game.,X,0,0,0,0,1,1,0,0,0,0,0,
5f5a534ca009210e9602114f,pl,"A small part is minority owned, but only if minority means anyone non white. Oldest companies get preference because they are an established part of the community and provide to its existence. Finally the amount of Covid damage will be most important. Can't let established parts of community disappear.",Wealth combined with technology makes first come first serve a cheaters game. Unfair.,X,0,0,1,1,0,0,0,0,0,1,0,
