FID,UOGID,NAME,TYPE,STUSAB,STATE,CDBG_AMT,ESG_AMT,HOME_AMT,HOPWA_AMT,TOT_AMT,YEAR,SHAPE_Length,SHAPE_Area,FUNDING ROUND,PROGRAM TYPE,PROGRAM JURISDICTION,FUNDING SOURCE,ROUND START,ROUND END,DOC TIMING,TOTAL REQUIREMENTS,TOTAL DOCS,PHYSICAL PRESENCE,TENURE/HISTORY,STANDARD FINANCIAL,NON-STANDARD FINANCIAL,PROOF COVID-RELATED,CRIMINAL HISTORY,INTENDED USE,BUSINESS TYPE,BUSINESS SIZE,GOOD STANDING,POST-AWARD RECEIPTS,MISCELLANEOUS,DOC ELEMENTS,PREVIOUS APP INCLUSION,CONTACT,WEB ADDRESS (ORIGINAL CODING ROUND),"WEB ADDRESS (IF ORIGINAL LINK INACTIVE, WEBARCHIVE LINK)",DATE COLLECTED,GRANT AMOUNT,"DISTRIBUTION METHOD (rj note: these were coded more consistently later but coding guide not followed closely -- eg different variations of first come first serve spelling, so goal here is to fill in blank rows and for non-blank ones, to double check whether you agree with the distribution method coding based on the website and then standardize the name based on the ""Code"" sheet)",PREFERENCES: MINORITY-OWNED BUSINESSES (0 = NO; 1 = YES; M = UNKNOWN),PREFERENCES: WOMEN-OWNED BUSINESSES (0 = NO; 1 = YES; M = UNKNOWN),"PREFERENCES: BUSINESS LOCATED IN HIGH-POVERTY AREA (might be called high-poverty, LMI area, needy area, etc) (0 = NO; 1 = YES; M = UNKNOWN)",PREFERENCES: HOLISTIC CRITERIA FROM REVIEWERS (0 = NO; 1 = YES; M = UNKNOWN),PREFERENCES: ECONOMIC CRITERIA (FTE; REVENUE/PROFITABILITY) (0 = NO; 1 = YES; M = UNKNOWN),PREFERENCES: OTHER (write out),PREFERENCES: NOTES ON CODING,RESTRICTS ELIGIBILITY TO UNDERSERVED BUSINESSES ONLY (0 = NO; 1 = YES),NOTES ON ELIGIBILITY CRITERIA (OPTIONAL),CODER ,PREFERENCES: WOMEN-OWNED BUSINESSES (0 = NO; 1 = YES; M = UNKNOWN),LINK TO 3RD PARTY ASSISTANCE,CHECKLIST,DOCUMENTATION NOTES,TOTAL RECIPIENTS,AVERAGE GRANT SIZE,MINORITY OWNED RECIPIENTS,WOMEN OWNED RECIPIENTS,OUTCOME NOTES,RJ notes
791,410426,EUGENE,51,OR,41,1402193,0,1399053,0,2801246,2018,2.844866566,0.01317760317,M,1,COUNTY,0,12/3/20,12/13/20,M,9,3,0,0,3,0,1,1,0,1,1,1,,1,Size and type of business; COVID related losses; good standing; criminal background check,0,lcbusconcerns@lanecountyor.gov,December 2020 Small Business Grants - Lane County,,6/27/21,7500-25000,Lottery,1,1,0,0,0,,,,"preference to service-disabled veteran-owned, those that ""had to close due to either of the Governor’s ordered Freezes"", and those in ""tourism, hospitality, and event sectors""",,,,"Funding source unclear, county level program only, priority given to minority/women/service-disabled-veteran owned businesses, priority also for tourism/hospitality/event sectors. Unable to see specific doc requirements, only eligiblity listed. Nonprofits also eligible",,,,,No info,,
2,530036,ANACORTES,51,WA,53,108667,0,0,0,108667,2018,0.8030501066,0.003903411839,2,1,CITY,1,M,1/29/21,1,7,6,1,1,4,2,0,0,1,1,0,0,,1,"Physical presence for more than 1yr; owner is 18 years or older; have SS#,EIN & City business license and Business Bank account; no bankruptcy; with property taxes and City fees; 30dats liability insurance",NA,360-299-1942,https://www.anacorteswa.gov/1223/CDBG-Small-Business-Stabilization-Grant,,12/23/2020,"0-10,000",M,0,0,0,0,1,,"Economic criteria pref: ""Eligibility for the award will be based on FTE job retention of 51% of the employees with an employee income of 80% or less of the area median income""",,,,,,NA,,,1,,,,
840,461392,RAPID CITY,51,SD,46,491989,0,0,0,491989,2018,1.82724432,0.01784684391,2,1,STATE,M,12/14/20,12/20/20,M,12,10,1,0,6,2,1,0,0,1,1,1,,2,Standard financial docs; ID; contact info; physical presence; COVID related loss; federal COVID funding received; good standing; 2 profit/loss statements,1,covid.bizgrants@state.sd.us,COVID in South Dakota - Small Business & Healthcare Grants (sd.gov),,6/27/21,500-?,M,M,M,M,M,M,,"Was difficult to find the answers for sure, many different links ",,,,,,"No max amount given, state level program, aimed at underserved areas and businesses. Previous round applicants not auto submitted but can access their initial application and submit as is",,,,,No info,,
1002,729127,SAN JUAN MUNICIPIO,51,PR,72,6993886,568381,2655387,6234828,16452482,2018,0.8671517355,0.01068483977,1,1,COUNTY,M,10/02/20,10/15/20,,6,4,0,1,2,2,0,0,0,0,1,1,,0,<=10 FTE employees; open atleast 1yr and still on after3/13/2020; nagative impacts by closure; records of community support; living wage jobs; financial track record; w9 form,NA,info@sanjuansedc.org,https://www.sanjuansedc.org/sjccares/,,09/30/20,"1,000 - 5,000",,,,,,,,Website taken down,,,,,,Funded by Local Government Coronavirus Refiel Fund under the CARES Act.,,,,,,,
828,422898,HARRISBURG,51,PA,42,1959208,163379,480830,0,2603417,2018,0.3393051015,0.003253683797,2,1,CITY,1,M,M,1,14,13,1,1,6,3,0,0,0,1,1,1,,2,Physical presence since Sept 2019; 10 or less employees; $1mil or less annual revenue; standard financial docs; custom financial projections through 3/31/21; Business Debt Schedule; Business License; DUNS Number; customer lists; self certification of owner's family income,M,credc@hbgrc.org,Harrisburg Community Development Block Grant Program - COVID Recovery Small Business Grant Program - Harrisburg Regional Chamber & CREDC,,6/27/21,0-10000,Comm,0,0,0,0,1,,"Pref for econ crit: must ""Earn $1 million or less in annual gross revenues""",,,,,,"Priority given to employers of low/moderate income employees and businesses who didn't receive prior funding from previous round or federal programs, significant number of non-standard financial docs required. City also has upcoming 3rd round",,,,,No info,,
479,220978,LAKE CHARLES,51,LA,22,661553,0,356716,0,1018269,2018,1.120429317,0.01100922837,1,0,STATE,,,12/31/20,,2(criteria),,,,,,,,,,,,,,,,LEDSmallBizLoans@la.gov,https://web.archive.org/web/20201103005424/https://www.ledbizloan.com/#  https://www.visitlakecharles.org/covid-19-resources/,,,"10,000 - 100,000",,,,,,,,,,,,,,,,,,,,,
168,62556,ONTARIO,51,CA,6,1849306,156098,709939,0,2715343,2018,0.5458729648,0.01264438388,1,1,COUNTY,M,M,12/30/20,0,8,6,1,1,4,0,0,1,0,1,1,1,,1,Physical storefront; <100 employees; few standard financial docs; proof of compliance with COVID guidelines; ,M,sbcovidbusiness@eda.sbcounty.gov. ,https://sbcovid19.com/covid-compliant-business-partnership-program/,,6/28/21,2500-5000,FCFS,0,0,0,0,0,,,,"Preference to ""businesses that have been in operations for one (1) year or more"", ""businesses that have not received any federal and/or state assistance""",,,,"County level program, funding unclear, many restrictions/specific guidelines related to type of business, allows for extra grants for businesses with mulitiple locations",,,,,No info,,
63,60594,CARSON,51,CA,6,815109,0,0,0,815109,2018,0.3781629461,0.004785032628,1,1,CITY,1,10/12/20,,0,9,3,1,1,1,1,0,0,1,1,0,0,,1,"drop revenue since Jan. 1st 2020;  business license; business insurance;  federal and state tax ID numbers; ,<= 50 employees",NA,applycarsonloan@gmail.com,http://carson.csudh.edu/content/files/pdfs/housing/SBGrant/SmallBusinessGrantProgramGuidelinesFinal.pdf,https://ci.carson.ca.us/communitydevelopment/housing_cdbg.aspx,NA,"5,000 - 10,000",,,,,,,,Website unavailable,,,,,,"Everything within one google doc, no additional doc needed. 2-50 employees: apply $10,000, if 0-1 employees apply $5,000",,,,,,,
1205,557056,WEST ALLIS,51,WI,55,1255225,0,0,0,1255225,2018,0.2971492021,0.003262010311,1,1,COUNTY,0,M,10/1/20,0,6,4,1,1,1,2,0,0,1,1,1,1,,0,Intended use; business type; < 20 employees; good standing; < $2mil revenue in 2019; Form 941; proof of no other federal aid received (PPP/SBA),NA,MKECoSBRecovery@medconline.com,https://wedc.org/wai-small-business-grant-frequently-asked-questions/,,1/29/21,7500-20000,,,,,,,,Website did not lead to loan info,,,,,,"Funded by CARES, priority given to minorities/women/veteran owned, not a lot of publicly available info on criteria and doc requirements",1551,,326,346,"Info on recipients online but unclear if data is aggregate of rounds 1 and 2, other programs may be included as well as data is labeled as CARES Act  Business Recipients in Milwaukee County",https://mclio.maps.arcgis.com/apps/webappviewer/index.html?id=b2ded249e2b24ebf914aeac070c21daa,
1052,530720,KENNEWICK,51,WA,53,653547,0,0,0,653547,2018,0.8591235098,0.008671804304,1,1,CITY,1,06/09/20,06/11/20,,7,2,1,1,1,0,0,0,0,1,1,0,,1,No documentation required; only have eligibility,NA,509-585-4200,https://www.go2kennewick.com/1317/Microenterprise-Emergency-Grant,,09/21/20,"10,000",M,0,0,1,M,0,,,,"High-Poverty specification: ""Microenterprise owner(s) with low-moderate household income (LMI), not to exceed 80% of median household income for Benton County""",,,,Up to 29 grants available in total,,,,,,,
483,221794,THIBODAUX,51,LA,22,155440,0,0,0,155440,2018,0.3488620981,0.001456307705,1,1,STATE,0,7/28/20,9/29/20,M,9,3,1,1,1,1,1,0,0,0,1,0,,1,Physical presence; 50%+ owned by LA resident; < 50 employees; not involved in political activity; active business operations (no investment firms); suffered businesss interruption,NA,225-342-0010,https://web.archive.org/web/20200702020857/https://www.treasury.la.gov/main-street,,7/2/20,0-15000,,,,,,,,Website not loading ,,,,,,"State level program, criteria were relaxed in Sept 2020, funded by state, hard to find criteria and doc requirements",,,,,Info on recipients online but not M/WBE status,https://stories.opengov.com/latreasurer/published/YbOtGAB3m,
870,450300,CHARLESTON,51,SC,45,893048,0,584743,641987,2119778,2018,9.894545896,0.02897621532,1,0,CITY,NA,M,M,NA,NA,4,1,0,3,1,0,0,1,0,1,NA,,0,gross revenue of $2.5 million or less; cash flow statements; income statements; balance sheet; Budget workplan,NA,NA,https://www.postandcourier.com/news/city-of-charleston-nonprofit-announce-850-000-covid-19-loan-fund-for-small-businesses/article_42a437b8-0320-11eb-ae15-2bce1be21819.html,,10/01/20,"$10,000 - $100,000",M,M,M,M,M,M,,"Article did not provide much information about the loans, so it seemed like most details were not included ",,,,,,"Only have news article, without application website",,,,,,,
1072,63162,SALINAS,51,CA,6,2093734,170830,838381,0,3102945,2018,0.5174907623,0.006244855942,1,1,CITY,1,10/19/20,10/30/20,M,10,9,1,1,7,0,0,1,1,0,1,1,,2,"Physical storefront; business license; good standing; no PPP/SBA funding received; legal residence proof; lease agreements; W-2s, 2019 tax return, 2020 P/L, balance sheet, 12mo bank statement; social media pages",NA,BIZSUPPORT@CI.SALINAS.CA.US,Grow Salinas Fund Small Business COVID-19 Relief Grants | City of Salinas,,1/30/21,2000-10000,Comm,0,0,0,0,0,,,,,,,,"Clear documentation and eligibility requirements, available in English and Spanish, city hosted townhall as well",20,,,,"Unclear if more grants given out, city did press release saying 20 in initial awards given",,
174,62682,PALO ALTO,51,CA,6,484816,0,0,0,484816,2018,0.9780758026,0.006296322364,1,1,CITY,NA,05/27/20,06/20/20,0,5,5,1,1,3,1,0,0,0,1,1,0,,1,25% or greater loss in revenue attributed to COVID-19; establish before 05/11/2019; <= 50 employees; physical location ,NA,businessgrants@cityofpaloalto.org,https://web.archive.org/web/20200530031959/https://www.cityofpaloalto.org/services/public_safety/plans_and_information/coronavirus/business_assistance/business_recovery.asp,,05/30/2020,"Up to $10,000",Lottery,0,0,0,0,0,,,,,,,,pre-application required for apply the grants,,,,,,,
725,366500,TROY,51,NY,36,1756812,146826,0,0,1903638,2018,0.2878674616,0.003148039243,1,0,STATE,0,M,M,1,8,7,1,1,5,2,1,1,1,1,1,1,,0,Proof no receipt of PPP/SBA funds; standard financial docs; proof of COVID related financial loss; physical presence in NY and open for 1yr min; business size and type restrictions; <$5mil annual gross revenue,NA,nys-mohawkval@esd.ny.gov,https://www.connect2capital.com/partners/new-york-forward-loan-fund/business-requirements/,,1/28/21,0-100000,M,0,0,0,0,0,,,,"""Properties must either be located in a low or moderate income (LMI) census tract or meet a rent test where property rents are affordable to tenants of low and moderate income;""",,,,"Simple application, documentation collected through direct contact by provider employees, state program, no city program and county program is by private company",,,,,,,
16,40270,MESA,51,AZ,4,3634821,288990,1451891,0,5375702,2018,3.134932468,0.03440397317,1,1,CITY,0,05/11/20,on-going,0,8,6,1,1,3,2,1,0,1,1,0,0,,1,Physcial location in Mesa; negative impact from COVID,,480-644-2273,https://www.mesaaz.gov/government/mesa-cares/mesa-cares-small-business-technical-assistance-program,https://web.archive.org/web/20200801124829/https://www.mesaaz.gov/government/mesa-cares/mesa-cares-small-business-technical-assistance-program,06/13/20,NA,Other,0,0,0,0,0,,,0,requires economic hardship and that the business is for-profit or non-profit in Mesa,,,,Funded by CARES Act,,,,,,,
350,182100,MUNCIE,51,IN,18,1249907,0,542195,0,1792102,2018,0.6819520862,0.007531809141,1,1,COUNTY,0,11/13/20,12/4/20,0,9,8,0,1,4,2,1,0,1,1,1,0,,2,"< 25 employees; increased operating expenses from COVID guidelines; financial losses due to COVID; tax returns, IRS guidelines, YTD 2020 finances; state business license; narrative of COVID impact and general business narrative",NA,econdevelopment@co.delaware.oh.us,https://economicdevelopment.co.delaware.oh.us/2020/11/03/small-business-protection-program/,,1/29/21,0-15000,FCFS,0,0,0,0,0,,"site taken down, use archive. no preferences besides economic are considered. Application is for consulting about how to get back on track. No grant or loan",0,"""Sole proprietors with 10 or fewer employees are encouraged to apply""",,,,"County level program only, multiple Sec of State related requirements, need to clearly establish COVID losses, funded by CARES, need to demonstrate cooperation with Restsart Ohio guidelines",122,,,,Names and amounts received are public but not M/WBE status,,
1023,531668,VANCOUVER,51,WA,53,1288958,0,748025,0,2036983,2018,1.186582816,0.01512027867,1,1,COUNTY,NA,09/08/20,09/25/20,0,6,6,1,0,4,1,0,0,0,0,1,0,,1,household's 2019 tax returns; household's 2 most recent months of paystubs; 2 most recent months of bank statements for your household;  2020 Profit and Loss statement,NA,southernwashington@mercycorps.org ,https://www.mercycorpsnw.org/clarkcounty/ ; https://web.archive.org/web/20200926081321/https://www.mercycorpsnw.org/clark-county-english-application/,,09/26/2020,"$2,500 - $10,000",Other,1,1,1,1,1,"LGBTQ+, veteran, previously incarcerated, immigrant, parent of young children (<=5)","Distribution method not clear, but they clearly have preferences for who they want to apply",1,,,,,"Not clear if funding from CDBG, city of Vancouver cooperate with Clark County",,,,,,,
771,461518,SIOUX FALLS,51,SD,46,973147,0,506786,0,1479933,2018,1.865939009,0.02264858701,2,1,STATE,M,12/14/20,12/20/20,M,12,10,1,0,6,2,1,0,0,1,1,1,,2,Standard financial docs; ID; contact info; physical presence; COVID related loss; federal COVID funding received; good standing; 2 profit/loss statements,1,covid.bizgrants@state.sd.us,COVID in South Dakota - Small Business & Healthcare Grants (sd.gov),,1/27/21,500-?,Comm; FCFS,0,0,0,0,1,,"Distribution method not clear, but they do not have any requirements besides demonstrating reduced revenue during the pandemic",0,,,,,"No max amount given, state level program, aimed at underserved areas and businesses. Previous round applicants not auto submitted but can access their initial application and submit as is",161 as of 12/7/20,,,,No info,,
1022,531554,TACOMA,51,WA,53,2460156,201861,1391912,0,4053929,2018,1.464067416,0.01542154261,,0,CITY,0,03/27/20,NA,0,4,,1,1,1,0,0,0,0,0,1,0,,1,10 or less employees; operated more than 1 yr; significant lose due to COVID,NA,covid19loan@cityoftacoma.org,https://web.archive.org/web/20200407223009/https://makeittacoma.com/business-employer-resources-for-covid-19-response-2-2/financial-support/faqs-city-of-tacoma-covid-19-stabilization-loan/,,04/27/2020,"up to $15,000",Comm,0,0,0,1,1,,Business loans that are aproved/denied by a committee,0,,,,,Not clear about the documentation requirements; pre-application needed;  ,,,,,,,
377,130444,BRUNSWICK,51,GA,13,356435,0,0,0,356435,2018,0.4875964522,0.004993156247,1,0,CITY,0,5/7/20,5/31/20,0,5,2,1,1,1,0,0,0,1,1,1,0,,1,< 20 employees; type; bills and mortgage assistance only; 24mo tenure in city,NA,mhill@cityofbrunswick-ga.gov,http://www.brunswickga.org/sg_userfiles/microloanapp.pdf,,1/29/21,0-1000,FCFS,0,0,0,0,0,,"site taken down, use archive. no preferences besides economic are considered",0,"20 or fewer employees; businesses must be licensed for Retail Trade, Restaurant / Bar, Salon /
Barber, small manufacturing or construction",,,,"City funded microloan, very few requirements and very small applicable use and $ amount",,,,,No info,,
144,61602,HAYWARD,51,CA,6,1517384,0,0,0,1517384,2018,1.210160184,0.01190017475,1,1,CITY,NA,04/03/20,04/27/20,,4,3,0,0,2,1,1,0,0,1,1,0,,0,25 or fewer employees,NA,EconDev@Hayward-ca.gov,https://web.archive.org/web/20200403223520/https://www.hayward-ca.gov/your-government/programs/hayward-covid-19-small-business-resiliency-grant-program,,04/03/20,"$5,000",FCFS,0,0,0,0,0,,grants for small businesses and independently-owned restaurants,0,employee count is the only restraint for small business grants,,,,Not clear the fuding sources ,,,,,,,
488,232484,PORTLAND CITY,51,ME,23,1895922,157131,1151710,0,3204763,2018,1.173429029,0.006264559553,2,0,CITY,1,M,3/4/21,0,9,9,1,1,9,0,1,1,0,1,1,0,,0,"< 15 employees; < $1mil annual revenue; 2018 and 2019 tax returns; personal financial statements from 20%+ owners, balance sheets, P/Ls, monthly projections, payroll, business plan, commercial lease; physical presence; operating since at least March 2020; restricted use of funds",M,ljn@portlandmaine.gov,"COVID-19 Loan and Grant Programs | Portland, ME (portlandmaine.gov)",,1/30/21,5000-10000,Comm,0,0,0,0,0,,"no preference for minorities or location, but income of the owner/employees affects whether they get a loan or grant and the amount",0,income level of the owner and full time employees affects grant/loan status and amount,,,,Programs differ slightly by # of employees,,,,,No info,,
818,481608,EDINBURG,51,TX,48,1044198,0,0,0,1044198,2018,0.8887128103,0.008964433365,2,1,CITY,0,NA,08/14/20,NA,5,3,1,0,1,1,0,0,0,0,1,0,,1,"fewer than 50 employees; less than $500,000 annual; physical location; City of Edinburg Work safe Plan",0,(956) 259-4357,https://web.archive.org/web/20200809175553/https://cityofedinburg.com/sparc/index.php,,08/09/20,"$2,000",Comm,0,0,0,0,0,,"program assists small, locally-owned businesses; has money for ""funding"" but doesn't specify which type",0,"Have fewer than 50 employees, Have less than $500,000 in annual sales or revenue, Have a City of Edinburg Work Safe Plan, Have not received a SPARC grant yet",,,,Funded by CARES Act,,,,,,,
