StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,prol_id,jw_scale_1,jw_scale_2,jw_scale_3,jw_scale_4,jw_scale_5,jw_scale_6,jw_scale_7,jw_scale_8,raceeth,Q35,Q34,w_rankfair_1,w_rankfair_2,w_rankfair_3,m_rankfair_1,m_rankfair_2,m_rankfair_3,pf_fr_1,pf_fr_2,pf_time,pl_fr_1,pl_fr_2,pl_time,lp_fr_1,lp_fr_2,lp_time,lf_fr_1,lf_fr_2,lf_time,fl_fr_1,fl_fr_2,fl_time,fp_fr_1,fp_fr_2,fp_time,legup_w,legupimp_w,legupnimp_w,m_outcomes,Q38,Q37,Q45,Cond,Create New Field or Choose From Dropdown...,first_choice
2020-12-28 08:10:15,2020-12-28 08:14:39,Survey Preview,,100,264,True,2020-12-28 08:14:40,R_1IxQ7IIrBMZ1ojA,,,,,38.906402587890625,-77.12779998779296875,preview,EN,1,I have read this information and I agree to take part in this study.,testing,3,3,3,3,3,3,3,3,"White,Prefer not to say",Prefer not to say,Prefer not to say,2,1,3,,,,,,,,,,,,,,,,testing testing testing testing,testing testing testing testing,Use first-come first-served even if takes 2 months longer to get money to businesses than a lottery,,,,No they should not receive an advantage,,Not important,,00000,"The researcher probably wanted me to say one method was the most fair, but I don't know which method that was.",,Wom,,"<span style=""font-family:Arial,Helvetica,sans-serif;""><span style=""color:#000000;""><span style=""font-size:16px;""><strong>First-come, first-served: </strong>The government gives the money to the first 500 businesses that apply.</span></span></span>"
2020-12-28 08:28:25,2020-12-28 08:32:41,IP Address,104.246.45.172,100,255,True,2020-12-28 08:32:41,R_10uXcAhgaiWBVc1,,,,,40.8343963623046875,-73.70079803466796875,anonymous,EN,1,I have read this information and I agree to take part in this study.,5ea649d884b9864dbacc4026,Strong disagreement = 1,Strong disagreement = 1,Strong disagreement = 1,Strong disagreement = 1,Strong disagreement = 1,Strong agreement = 6,Strong disagreement = 1,Strong disagreement = 1,Asian,No preference,Moderate,,,,3,2,1,"The point system tells the government how urgently the business needs the money, and how much of the damage is attributable to the Covid vs the poor management. First come first served and lottery system will both have chances of missing the business that needs the money the most due to Covid.","Generally the most in need business rush to any help they get, so there is more likelihood first comers need the money most. Lottery just feels like a toss in the air.",Use a points system even if it takes 2 weeks longer to get money to businesses than first-come first-served,,,,,,,,,,,,,,,,,,,Probably get discriminated.,11010,I don't think the researcher cared which method I said was the most fair.,,No_info,,"<span style=""font-family:Arial,Helvetica,sans-serif;""><span style=""color:#000000;""><span style=""font-size:16px;""><strong>Points-based system</strong>: The government assigns more points to businesses that applied if they have more COVID-19 damage, have been around for longer, and if they are owned by minorities. The 500 businesses with the most points get funded.</span></span></span>"
2020-12-28 08:29:15,2020-12-28 08:33:55,IP Address,174.102.15.207,100,280,True,2020-12-28 08:33:56,R_1H1R012v2OoFobw,,,,,39.141693115234375,-84.5171966552734375,anonymous,EN,1,I have read this information and I agree to take part in this study.,5f18426fedbee4247a743ab6,5,3,5,5,4,Strong agreement = 6,2,Strong disagreement = 1,Asian,No preference,Liberal,,,,,,,,,,,,,,,,,,,,,,,,,No they should not receive an advantage,,Somewhat important,,45221,The researcher might have wanted me to say points was the most fair.,,Wom,,"<span style=""font-family:Arial,Helvetica,sans-serif;""><span style=""color:#000000;""><span style=""font-size:16px;""><strong>Points-based system</strong>: The government assigns more points to businesses that applied if they have more COVID-19 damage, have been around for longer, and if they are owned by women. The 500 businesses with the most points get funded.</span></span></span>"
2020-12-28 08:29:47,2020-12-28 08:34:49,IP Address,73.187.68.242,100,302,True,2020-12-28 08:34:49,R_0PuvDRWFyQ4h3ln,,,,,41.2382049560546875,-76.997802734375,anonymous,EN,1,I have read this information and I agree to take part in this study.,5f0cd090c46f4017b410ccbf,2,3,3,4,3,Strong agreement = 6,3,2,"White,American Indian or Alaska Native",Independent,Conservative,,,,2,1,3,,,,,,,,,,,,,"Everyone has the same access to the forms and the same deadline, they can all compete fairly for the money.",Basing covid funding on race is racist.," Only use first-come first-served if it gets money to businesses as quickly as a lottery ",,,,,,,"As well as any other business, the playing field is completely level.",17701,The researcher definitely wanted me to say points was the most fair.,,Min,,"<span style=""font-family:Arial,Helvetica,sans-serif;""><span style=""color:#000000;""><span style=""font-size:16px;""><strong>First-come, first-served: </strong>The government gives the money to the first 500 businesses that apply.</span></span></span>"
2020-12-28 08:31:54,2020-12-28 08:37:38,IP Address,75.162.243.142,100,343,True,2020-12-28 08:37:38,R_1GUI42qm2cFk38C,,,,,41.6244049072265625,-93.669403076171875,anonymous,EN,1,I have read this information and I agree to take part in this study.,55cb7fdafdf99b3c26ae4d4a,5,4,4,3,4,Strong agreement = 6,5,4,Asian,Republican,Conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I think this would help a lot given the fact that it points out the word minorities right in the requirement/descriptions. That would help a lot I feel and it seems like it's all weighed out so that there is also a fair balance and that not one requirement would get the most. I do think though that the fact about it being around longer may make it tougher but it should be balanced out by the fact that minorities get more points per the description. ",06340,The researcher might have wanted me to say points was the most fair.,,Min,,"<span style=""font-family:Arial,Helvetica,sans-serif;""><span style=""color:#000000;""><span style=""font-size:16px;""><strong>Points-based system</strong>: The government assigns more points to businesses that applied if they have more COVID-19 damage, have been around for longer, and if they are owned by minorities. The 500 businesses with the most points get funded.</span></span></span>"
2020-12-28 08:25:30,2020-12-28 08:38:10,IP Address,68.227.210.194,100,759,True,2020-12-28 08:38:10,R_3JsLTrE0nt0kPrz,,,,,41.5041046142578125,-72.9167022705078125,anonymous,EN,1,I have read this information and I agree to take part in this study.,5fd6eea6c19e0c66334fc1f4,Strong disagreement = 1,2,2,2,Strong disagreement = 1,Strong agreement = 6,4,4,Asian,No preference,Moderate,,,,2,3,1,,,,Because this method is based on the profile and situation of the small business. It provides supports to the ones who need it the most.,Because the small business applied for support earlier doesn't mean they are the ones who need it the most. First-come first-served creates unfairness.," Only use a points system if it gets money to businesses as quickly as a lottery ",,,,,,,,,,,,,,,,This would help them a lot.,06410,The researcher might have wanted me to say lottery was the most fair.,,Min,,"<span style=""font-family:Arial,Helvetica,sans-serif;""><span style=""color:#000000;""><span style=""font-size:16px;""><strong>Points-based system</strong>: The government assigns more points to businesses that applied if they have more COVID-19 damage, have been around for longer, and if they are owned by minorities. The 500 businesses with the most points get funded.</span></span></span>"
2020-12-28 08:32:02,2020-12-28 08:40:17,IP Address,72.213.54.43,100,494,True,2020-12-28 08:40:17,R_2ZPMLH44vG4jVWa,,,,,41.24420166015625,-95.95989990234375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,I have read this information and I agree to take part in this study.,5ee6b5ae646338000b53f9ff,3,3,3,3,3,Strong agreement = 6,3,3,White,Independent,Liberal,,,,1,2,3,,,,,,,,,,"It is completely random. There’s no specific criteria involved. ",It’s biased towards businesses that have been around the longest. To me that doesn’t seem fair. I would think new businesses would more likely need assistance.,Use a lottery even if it takes 2 weeks longer to get money to businesses than first-come first-served,,,,,,,,,,"It’s a lottery, so it would be totally up to chance.",68102,I don't think the researcher cared which method I said was the most fair.,,No_info,,"<span style=""font-family:Arial,Helvetica,sans-serif;""><span style=""color:#000000;""><span style=""font-size:16px;""><strong>Lottery:</strong> The government randomly selects 500 of the eligible businesses that applied to get the money.</span></span></span>"
2020-12-28 08:30:13,2020-12-28 08:40:19,IP Address,141.154.49.193,100,605,True,2020-12-28 08:40:19,R_3egaRrfqgWLlsQ2,,,,,42.4178009033203125,-71.1134033203125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,I have read this information and I agree to take part in this study.,5e8b32ec2c33ae7f20a0b401,4,4,4,4,4,Strong agreement = 6,4,3,Asian,Independent,Moderate,1,3,2,,,,,,,,,,The powerful always know how to get the government's money. Open lottery is the better way to be fair to all.,"The powerful always will make sure they apply first, or make them looks like the first come."," Only use a lottery if it gets money to businesses as quickly as a points system ",,,,,,,,,,Yes they should receive an advantage,Very important,,,02176,The researcher definitely wanted me to say lottery was the most fair.,,No_info,,"<span style=""font-family:Arial,Helvetica,sans-serif;""><span style=""color:#000000;""><span style=""font-size:16px;""><strong>Lottery:</strong> The government randomly selects 500 of the eligible businesses that applied to get the money.</span></span></span>"
2020-12-28 08:29:43,2020-12-28 08:40:38,IP Address,173.69.209.162,100,654,True,2020-12-28 08:40:38,R_3ffxTHtoI95ctB9,,,,,39.3054962158203125,-76.4517974853515625,anonymous,EN,1,I have read this information and I agree to take part in this study.,5c4a40123714ae0001863e8a,3,2,3,2,3,Strong agreement = 6,2,3,White,Other party,Liberal,2,3,1,,,,,,,"Point system can be set up so smaller businesses have a better chance of the money and larger businesses, who may not be as desparate for cash, are not given an advantage.  Bigger does not mean better all the time.","It allows people with inside information about when to apply to get an unfair advantage.  Also, if 250 business who are not struggling but can get the information they need to apply faster, they will get the funding over a smaller business who do not have the same resources.",Use a points system even if it takes 2 weeks longer to get money to businesses than a lottery,,,,,,,,,,,,,Yes they should receive an advantage,Somewhat important,,,21221,The researcher might have wanted me to say lottery was the most fair.,,Wom,,"<span style=""font-family:Arial,Helvetica,sans-serif;""><span style=""color:#000000;""><span style=""font-size:16px;""><strong>Points-based system</strong>: The government assigns more points to businesses that applied if they have more COVID-19 damage, have been around for longer, and if they are owned by women. The 500 businesses with the most points get funded.</span></span></span>"
2020-12-28 08:38:58,2020-12-28 08:42:04,IP Address,172.58.59.170,100,186,True,2020-12-28 08:42:04,R_21d2ksSKP6gjd5e,,,,,39.73199462890625,-104.8632965087890625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,I have read this information and I agree to take part in this study.,5d48d394da637a00174b96eb,3,4,4,3,3,Strong agreement = 6,4,2,White,Independent,Moderate,2,3,1,,,,,,,"Because I believe that the businesses that are most impacted by the COVID-19 pandemic are the ones that deserve the money the most. This way, we are trying to help businesses that would likely close otherwise to stay open.",I think the first-come first-served is least fair because it is likely that the money will go to businesses that are doing well. The businesses that are struggling likely have less time and resources to apply for grant money.,Use a points system even if it takes 1 month longer to get money to businesses than a lottery,,,,,,,,,,,,,No they should not receive an advantage,,Somewhat important,,37820,The researcher might have wanted me to say points was the most fair.,,Wom,,"<span style=""font-family:Arial,Helvetica,sans-serif;""><span style=""color:#000000;""><span style=""font-size:16px;""><strong>Points-based system</strong>: The government assigns more points to businesses that applied if they have more COVID-19 damage, have been around for longer, and if they are owned by women. The 500 businesses with the most points get funded.</span></span></span>"
